+--------------------------------+---------------------------------------------------------------+-------+------------+
|            phrase1             |                            phrase2                            | label | Similarity |
|         feature model          |                      main representation                      |   1   |     1      |
|       degraded position        |                        dissipated state                       |   1   |     1      |
|         second chamber         |                     subsequent compartment                    |   0   |     1      |
|            one push            |                        a single thrust                        |   1   |     1      |
|           new window           |                        browsing portal                        |   0   |     1      |
|          physical one          |                        natural analogy                        |   0   |     1      |
|          common point          |                       typical reference                       |   1   |     1      |
|           real party           |                    authentic representative                   |   1   |     1      |
|         fixed property         |                  non-changing characteristic                  |   0   |     1      |
|            one size            |                       a single approach                       |   1   |     1      |
|           human way            |                         mortal process                        |   0   |     1      |
|           outer coat           |                        Exterior surface                       |   1   |     1      |
|          actual board          |                         genuine plank                         |   0   |     1      |
|      overall organization      |                       whole institution                       |   0   |     1      |
|        major importance        |                         critical value                        |   0   |     1      |
|       healthier economy        |              prosperous financial infrastructure              |   1   |     1      |
|         whole movement         |                          major cause                          |   0   |     1      |
|         permanent post         |                       full-time position                      |   1   |     1      |
|      particular division       |                        exclusive branch                       |   1   |     1      |
|          ninth month           |                     ninth sequential moon                     |   0   |     1      |
|          first field           |                        original sector                        |   0   |     1      |
|        certain evidence        |                         definite proof                        |   0   |     1      |
|         execution time         |                      termination schedule                     |   1   |     1      |
|     immediate neighborhood     |                        nearby community                       |   1   |     1      |
|          local stage           |                        phase of cancer                        |   1   |     1      |
|         profound drop          |                         sharp descent                         |   0   |     1      |
|            one post            |                     Military duty station                     |   1   |     1      |
|           far right            |                    extreme opposite of left                   |   1   |     1      |
|        neutral position        |                         rest condition                        |   1   |     1      |
|        prominent study         |                      distinguished group                      |   1   |     1      |
|      different resolution      |                        image qualities                        |   0   |     1      |
|            new crop            |                         emerging group                        |   1   |     1      |
|        effect approach         |                       efficient solution                      |   1   |     1      |
|     community affiliation      |                      regional connections                     |   0   |     1      |
|       relevant authority       |                        pertinent source                       |   0   |     1      |
|         his/her field          |                         his/her range                         |   1   |     1      |
|          simple table          |                     straightforward chart                     |   0   |     1      |
|     following performance      |                        ensuing showing                        |   0   |     1      |
|          plant rooms           |                          data centers                         |   0   |     1      |
|         direct contact         |                    immediate communication                    |   1   |     1      |
|          last 2 weeks          |                       endure for 14 days                      |   0   |     1      |
|         massive range          |                          wide variety                         |   0   |     1      |
|          whole organ           |                         Entire entity                         |   0   |     1      |
|        current section         |                          Present area                         |   1   |     1      |
|         popular track          |                       well-liked course                       |   1   |     1      |
|          active hand           |                       instrumental role                       |   1   |     1      |
|          unique image          |                         uncommon style                        |   0   |     1      |
|       specialised nature       |                         limited class                         |   0   |     1      |
|         earlier record         |                      established history                      |   1   |     1      |
|           next call            |                      subsequent phonecall                     |   1   |     1      |
|           real meat            |                         genuine heart                         |   1   |     1      |
|         tough position         |                        challenging pose                       |   0   |     1      |
|          one seizure           |                        specific capture                       |   1   |     1      |
|       political function       |                      governmental duties                      |   0   |     1      |
|        popular approach        |                          general way                          |   1   |     1      |
|         state sponsor          |                       government support                      |   1   |     1      |
|     immediate neighborhood     |                         adjacent part                         |   0   |     1      |
|           full round           |                        thorough course                        |   1   |     1      |
|       quick recognition        |                        rapid acceptance                       |   0   |     1      |
|        strong movement         |                           big motion                          |   0   |     1      |
|        archive material        |                collect and preserve information               |   0   |     1      |
|       physical reaction        |                        bodily response                        |   1   |     1      |
|          random time           |                     arbitrary by-the-clock                    |   0   |     1      |
|        resulting course        |                          ensuing path                         |   0   |     1      |
|       force requirements       |                        strength demands                       |   1   |     1      |
|     foundation experience      |                     substructure evidence                     |   1   |     1      |
|            side act            |                           small job                           |   1   |     1      |
|         quick passing          |                           swift flow                          |   0   |     1      |
|          next number           |                        following digit                        |   1   |     1      |
|     investigation section      |                  inquiry-resolution component                 |   0   |     1      |
|        commercial power        |                    large scale electricity                    |   1   |     1      |
|          recent flood          |                     last natural disaster                     |   0   |     1      |
|            one vice            |                             a sub                             |   0   |     1      |
|          stop signal           |                        ending indicator                       |   0   |     1      |
|         his/her field          |                          their range                          |   1   |     1      |
|         family issues          |                  concerns among the relatives                 |   1   |     1      |
|          dream state           |                    hallucination condition                    |   0   |     1      |
|        traditional show        |                      time-honored ritual                      |   0   |     1      |
|          ideal focus           |                    optimal task orientation                   |   0   |     1      |
|         choice method          |                             device                            |   0   |     1      |
|          one property          |                           a location                          |   1   |     1      |
|      system's circulation      |                 organization's book collection                |   1   |     1      |
|          large price           |                          greater cost                         |   1   |     1      |
|         another master         |                      different commander                      |   0   |     1      |
|       mass distribution        |                         wide dispersal                        |   1   |     1      |
|        strong movement         |                           big motion                          |   1   |     1      |
|         house members          |                       cabinet officials                       |   0   |     1      |
|       available program        |                          open courses                         |   0   |     1      |
|            use rate            |                          usage factor                         |   1   |     1      |
|        internal process        |                        interior regimen                       |   1   |     1      |
|            last bar            |                            end item                           |   0   |     1      |
|        weight transfer         |                    the movement of the load                   |   1   |     1      |
|        court commission        |         authorization of the sovereign to create items        |   1   |     1      |
|          whole stack           |                    entire dielectric layers                   |   1   |     1      |
|           full cover           |                        total protection                       |   0   |     1      |
|           every base           |                          each ground                          |   0   |     1      |
|         unbroken line          |                        intact ancestry                        |   0   |     1      |
|         greater volume         |                         bigger amount                         |   1   |     1      |
|         major breaches         |                    significant infringement                   |   1   |     1      |
|     existing organization      |                       current structure                       |   1   |     1      |
|         world theaters         |               national and international stages               |   0   |     1      |
|       modern restoration       |                       present day return                      |   1   |     1      |
|           key tracks           |                      important recordings                     |   1   |     1      |
|           colour bar           |                           racial ban                          |   1   |     1      |
|         local elements         |                      regional influences                      |   0   |     1      |
|          whole points          |                          entire marks                         |   0   |     1      |
|        initial activity        |                         starting task                         |   0   |     1      |
|          brief attack          |                   limited overtaking effort                   |   1   |     1      |
|           deck size            |                     measurement of an area                    |   0   |     1      |
|           one junior           |                        younger student                        |   0   |     1      |
|         massive figure         |                          giant number                         |   0   |     1      |
|           store area           |                          Holding zone                         |   1   |     1      |
|         simple matter          |                    straightforward solution                   |   0   |     1      |
|           deep dive            |                       thorough analysis                       |   0   |     1      |
|            one post            |                           an article                          |   1   |     1      |
|           heavy rock           |                         weighty stone                         |   1   |     1      |
|        current setting         |                        present controls                       |   1   |     1      |
|      potential production      |        the highest level of real gross domestic product       |   1   |     1      |
|          plant rooms           |                          green houses                         |   0   |     1      |
|         broader market         |                        greater industry                       |   0   |     1      |
|         occupied state         |                        inhabited nation                       |   0   |     1      |
|          modern port           |                     contemporary interface                    |   0   |     1      |
|         mission system         |              church land-acquisition arrangement              |   1   |     1      |
|      sufficient material       |                       an adequate supply                      |   0   |     1      |
|           good plots           |                        suitable parcels                       |   1   |     1      |
|        electronic mode         |                      lepton particle role                     |   0   |     1      |
|         active element         |                         Operating unit                        |   1   |     1      |
|           every case           |                          each lawsuit                         |   0   |     1      |
|        normal character        |                           font unit                           |   1   |     1      |
|       larger production        |                      greater cultivation                      |   1   |     1      |
|          small plant           |                         minute factory                        |   1   |     1      |
|         official guide         |                         formal escort                         |   0   |     1      |
|         uniform plane          |                      homogeneous material                     |   1   |     1      |
|         popular voice          |                     public representation                     |   1   |     1      |
|           fair deal            |                   Fair Deal policy proposal                   |   0   |     1      |
|           hang fire            |                      stalled gun release                      |   0   |     1      |
|          main vehicle          |                       primary automobile                      |   1   |     1      |
|      broader organization      |                          larger group                         |   0   |     1      |
|       one or two orders        |                        couple purchases                       |   1   |     1      |
|      previous generation       |                           last model                          |   0   |     1      |
|          next advance          |                         upcoming move                         |   0   |     1      |
|          unique group          |                          distinct set                         |   1   |     1      |
|         another stream         |                        additional water                       |   0   |     1      |
|          manual work           |                         physical labor                        |   1   |     1      |
|        actual coverage         |                        genuine airtime                        |   1   |     1      |
|        elite population        |                          rich people                          |   1   |     1      |
|       massive influence        |                       tremendous impact                       |   0   |     1      |
|         singular line          |                        single sentence                        |   0   |     1      |
|           hard edge            |                      rock and roll slant                      |   0   |     1      |
|          landing mat           |                   principal working airfield                  |   1   |     1      |
|      two weeks detention       |                       14-day confinement                      |   1   |     1      |
|      environment problem       |                         element hazard                        |   1   |     1      |
|     one published account      |                    a single recorded login                    |   0   |     1      |
|         initial strain         |                           new stress                          |   1   |     1      |
|         unknown charge         |                       unmeasured energy                       |   0   |     1      |
|         present ideas          |                       introduce concepts                      |   1   |     1      |
|         uniform design         |                    standardized arrangement                   |   0   |     1      |
|            new air             |                     a breath of fresh air                     |   1   |     1      |
|     investigation section      |                  inquiry-resolution component                 |   1   |     1      |
|         closest match          |                         tightest game                         |   0   |     1      |
|           one junior           |                     individual third-year                     |   0   |     1      |
|          later review          |                       eventual analysis                       |   1   |     1      |
|       initial mechanism        |                       First organization                      |   0   |     1      |
|         playing center         |                    practicing the position                    |   0   |     1      |
|        particular point        |                         specific area                         |   1   |     1      |
|        high depression         |                     increased despondency                     |   0   |     1      |
|         group students         |                          batch youths                         |   1   |     1      |
|           huge load            |                           large pile                          |   1   |     1      |
|           deep cuts            |                       severe lacerations                      |   0   |     1      |
|          one ensemble          |                            a group                            |   1   |     1      |
|      significant pressure      |                   high levels of harassment                   |   1   |     1      |
|           big noise            |                          huge clamor                          |   1   |     1      |
|       different station        |                         second channel                        |   1   |     1      |
|       residential nature       |                        home-like style                        |   0   |     1      |
|         upper segment          |                          top section                          |   1   |     1      |
|        secondary chain         |                      Connected franchise                      |   0   |     1      |
|          entire unit           |                        complete system                        |   0   |     1      |
|      concentrated energy       |                         focused power                         |   1   |     1      |
|           deck size            |                    compartment measurement                    |   1   |     1      |
|           new family           |                       growing household                       |   1   |     1      |
|           two finish           |                          couple stops                         |   0   |     1      |
|          largest sum           |                     hugest amount of money                    |   1   |     1      |
|         specific post          |                          exact title                          |   0   |     1      |
|          white light           |                      bright illumination                      |   1   |     1      |
|         steady advance         |                      substantial progress                     |   0   |     1      |
|      particular structure      |                      precise organization                     |   0   |     1      |
|           4 position           |                           4th place                           |   1   |     1      |
|          key bridges           |                important connecting structures                |   1   |     1      |
|       standard character       |                         regular figure                        |   0   |     1      |
|        subsequent test         |                        later assessment                       |   0   |     1      |
|         weaver family          |                        Weaver household                       |   0   |     1      |
|       linear development       |                       subsequent events                       |   1   |     1      |
|           iron pipe            |                           iron tube                           |   1   |     1      |
|         repeated abuse         |                        frequent torture                       |   1   |     1      |
|        force production        |                     police officer growth                     |   1   |     1      |
|        good treatments         |                  satisfactory conduct toward                  |   0   |     1      |
|         fast division          |                  highly mobile military unit                  |   0   |     1      |
|       active counterpart       |                       more bustling mate                      |   0   |     1      |
|           zero area            |                         no dimensions                         |   0   |     1      |
|          entire post           |                          entire after                         |   1   |     1      |
|         measured pace          |                        slow advancement                       |   1   |     1      |
|       released material        |                        Expelled matter                        |   1   |     1      |
|           third body           |                        tertiary figure                        |   1   |     1      |
|          light parts           |                       the surface pieces                      |   1   |     1      |
|         landing point          |                         entrance dock                         |   0   |     1      |
|          either work           |                        Go to their job                        |   1   |     1      |
|     reported relationship      |                       noted correlation                       |   1   |     1      |
|         physical limit         |                  resource supply restriction                  |   1   |     1      |
|          first pillar          |                         starting step                         |   1   |     1      |
|        occupation site         |                        occupied habitat                       |   1   |     1      |
|     harmonic relationship      |                       symbiotic exchange                      |   1   |     1      |
|           peak area            |                         highest ground                        |   1   |     1      |
|         case material          |                  component for the container                  |   1   |     1      |
|        effective result        |                      ultimate consequence                     |   1   |     1      |
|          nominal rate          |                           base speed                          |   0   |     1      |
|            ok group            |                         regional group                        |   1   |     1      |
|          either work           |                   One art piece or the other                  |   0   |     1      |
|           open book            |                         unclosed text                         |   1   |     1      |
|        quicker response        |                        swifter reaction                       |   1   |     1      |
|           broad view           |                     expansive perspective                     |   1   |     1      |
|         major landmark         |                      prestigious monument                     |   1   |     1      |
|        nearby position         |                      close tactical point                     |   1   |     1      |
|         full structure         |                         overall layout                        |   0   |     1      |
|          fire engines          |                      band "Fire Engines"                      |   1   |     1      |
|      immediate background      |                       historical context                      |   1   |     1      |
|        either the state        |                     either the government                     |   1   |     1      |
|          group order           |                sequence of algebraic structures               |   1   |     1      |
|         previous host          |                         former network                        |   1   |     1      |
|          memory cells          |                          Data storage                         |   0   |     1      |
|         tough position         |                         rough location                        |   0   |     1      |
|         zero sum game          |           situation with all-or-nothing consequences          |   0   |     1      |
|         given subject          |                        specified topic                        |   1   |     1      |
|      one additional line       |                     an extra row of words                     |   1   |     1      |
|          live nights           |                       exciting evenings                       |   1   |     1      |
|      consistent exercise       |                   regular physical activity                   |   0   |     1      |
|          damaged face          |                         distended grip                        |   0   |     1      |
|         art treatment          |               antiretroviral therapy medication               |   0   |     1      |
|        neutral position        |                           null point                          |   1   |     1      |
|         primary bridge         |                   most important connection                   |   1   |     1      |
|           1st cycle            |                         first session                         |   1   |     1      |
|       consistent defense       |                       stable protection                       |   1   |     1      |
|           open front           |                  unobstructed forward-facing                  |   1   |     1      |
|        parallel motion         |             action extending in the same direction            |   1   |     1      |
|       lightning strokes        |                    incredibly rapid swings                    |   1   |     1      |
|       one or both sides        |                          either side                          |   0   |     1      |
|    second and third windows    |                    2nd and 3rd time frames                    |   1   |     1      |
|          single field          |                           sole area                           |   1   |     1      |
|           good dates           |                      more favorable days                      |   0   |     1      |
|       archbishop's chair       |                      high priest's throne                     |   0   |     1      |
|       economic function        |                     profit-making purpose                     |   0   |     1      |
|         good exposure          |                       positive publicity                      |   0   |     1      |
|          second date           |                      following engagement                     |   0   |     1      |
|         full attention         |                     complete concentration                    |   0   |     1      |
|          date records          |                          dated albums                         |   0   |     1      |
|         single family          |                        particular genus                       |   0   |     1      |
|         longer course          |                        greater journey                        |   1   |     1      |
|       consistent pattern       |                     continuous arrangement                    |   1   |     1      |
|         water pathways         |                          river access                         |   0   |     1      |
|        powerful spring         |                         strong geyser                         |   1   |     1      |
|           main head            |                        primary cranium                        |   0   |     1      |
|         added support          |                        additional help                        |   1   |     1      |
|          safe ground           |               inoffensive conversation landscape              |   1   |     1      |
|        occupation site         |                       Contested location                      |   1   |     1      |
